F = -1.000000 | I = 187 | calculated -0.002667
F = 1.000000 | I = 188 | calculated 0.002653
F = -1.000000 | I = 189 | calculated -0.002639
F = 1.000000 | I = 190 | calculated 0.002625
F = -1.000000 | I = 191 | calculated -0.002611
F = 1.000000 | I = 284 | calculated 0.001757
F = -1.000000 | I = 193 | calculated -0.002584
F = 1.000000 | I = 194 | calculated 0.002571
F = -1.000000 | I = 195 | calculated -0.002558
F = 1.000000 | I = 196 | calculated 0.002545
F = -1.000000 | I = 197 | calculated -0.002532
F = 1.000000 | I = 198 | calculated 0.002519
F = -1.000000 | I = 199 | calculated -0.002506
F = 1.000000 | I = 200 | calculated 0.002494
F = -1.000000 | I = 201 | calculated -0.002481
F = 1.000000 | I = 202 | calculated 0.002469
F = -1.000000 | I = 203 | calculated -0.002457
F = 1.000000 | I = 204 | calculated 0.002445
F = -1.000000 | I = 205 | calculated -0.002433
F = 1.000000 | I = 206 | calculated 0.002421
F = -1.000000 | I = 207 | calculated -0.002410
F = 1.000000 | I = 208 | calculated 0.002398
F = -1.000000 | I = 209 | calculated -0.002387
F = 1.000000 | I = 210 | calculated 0.002375
F = -1.000000 | I = 211 | calculated -0.002364
F = -1.000000 | I = 285 | calculated -0.001751
F = 1.000000 | I = 212 | calculated 0.002353
F = 1.000000 | I = 214 | calculated 0.002331
F = -1.000000 | I = 215 | calculated -0.002320
F = 1.000000 | I = 216 | calculated 0.002309
F = -1.000000 | I = 217 | calculated -0.002299
F = 1.000000 | I = 218 | calculated 0.002288
F = -1.000000 | I = 219 | calculated -0.002278
F = 1.000000 | I = 220 | calculated 0.002268
F = -1.000000 | I = 221 | calculated -0.002257
F = 1.000000 | I = 222 | calculated 0.002247
F = -1.000000 | I = 223 | calculated -0.002237
F = 1.000000 | I = 224 | calculated 0.002227
F = -1.000000 | I = 225 | calculated -0.002217
F = 1.000000 | I = 226 | calculated 0.002208
F = -1.000000 | I = 227 | calculated -0.002198
F = 1.000000 | I = 228 | calculated 0.002188
F = -1.000000 | I = 229 | calculated -0.002179
F = 1.000000 | I = 230 | calculated 0.002169
F = -1.000000 | I = 231 | calculated -0.002160
F = 1.000000 | I = 232 | calculated 0.002151
F = -1.000000 | I = 233 | calculated -0.002141
F = 1.000000 | I = 234 | calculated 0.002132
F = -1.000000 | I = 235 | calculated -0.002123
F = 1.000000 | I = 236 | calculated 0.002114
F = -1.000000 | I = 237 | calculated -0.002105
F = 1.000000 | I = 238 | calculated 0.002096
F = -1.000000 | I = 239 | calculated -0.002088
F = 1.000000 | I = 240 | calculated 0.002079
F = -1.000000 | I = 241 | calculated -0.002070
F = 1.000000 | I = 242 | calculated 0.002062
F = -1.000000 | I = 243 | calculated -0.002053
F = 1.000000 | I = 244 | calculated 0.002045
F = -1.000000 | I = 245 | calculated -0.002037
F = 1.000000 | I = 246 | calculated 0.002028
F = -1.000000 | I = 247 | calculated -0.002020
F = 1.000000 | I = 248 | calculated 0.002012
F = -1.000000 | I = 249 | calculated -0.002004
F = 1.000000 | I = 250 | calculated 0.001996
F = -1.000000 | I = 251 | calculated -0.001988
